D,M,Y,DATE,Month,Year,Country,Location,Region,Operator,Wireline Company,Well,E&A / Dev,Land / Offshore,Mud,Open Hole /Cased Hole,Bit size / Csg size [inches],Depth [m],Temperature (degC),Deviation,Dif. Pressure [psi],DLS          [deg/30m],Main Application,Toolstring,Probe/Coring Bit Orientation,System,TLC Replacement Yes/No,PathFinder Run (Y/N),Thor Run (Y/N),Jar included in the Toolstring,Successful,Unsuccessful - Downhole Conditions,Unsuccessful - Wrong Setup,Jar Activation,Remarks
1,6,2013,2013-06-01 00:00:00,6,2013,New Zealand,New Plymouth,APAC,MRP,SLB,A,0,0,WBM,OH,8.5,2500,0,9,0,0,Ledges,0,0,Wireline Express,0,NO,NO,0,1,0,0,0,"Geothermal well, numerous ledges. ENP"
1,10,2013,2013-10-01 00:00:00,10,2013,New Zealand,New Plymouth,APAC,TAG,SLB,B,0,0,WBM,OH,8.5,2600,0,60,0,0,Deviation,PEX-DSI-AIT,0,Wireline Express,0,NO,NO,0,1,0,0,0,First oil well logged with Petromac system. ENP
1,11,2013,2013-11-01 00:00:00,11,2013,New Zealand,New Plymouth,APAC,TAG,SLB,C,0,0,WBM,OH,8.5,4200,0,0,0,0,Ledges,CMR-ILE-PPC,0,Wireline Express,0,NO,NO,0,1,0,0,0,Borehole breakout with ledges at coal measures. ENP.
1,2,2014,2014-02-01 00:00:00,2,2014,New Zealand,New Plymouth,APAC,ORIGIN,SLB,D,0,0,WBM,OH,8.5,1220,0,47,0,0,Ledges,PEX(AIT)-BHC,0,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,3,2014,2014-03-01 00:00:00,3,2014,New Zealand,New Plymouth,APAC,TODD,SLB,E,0,0,SOBM,OH,6.125,4850,0,0,0,0,Ledges,CMR,0,Wireline Express,0,NO,NO,0,1,0,0,0,Borehole breakout with ledges at coal measures
1,4,2014,2014-04-01 00:00:00,4,2014,New Zealand,New Plymouth,APAC,TAG,SLB,F,0,0,WBM,OH,8.5,2450,0,55,0,0,Deviation,PEX-BHC-HRLA,0,Wireline Express,0,NO,NO,0,1,0,0,0,"Reverse azimuth- 30deg W, sidetracked 55deg E."
1,5,2014,2014-05-01 00:00:00,5,2014,New Zealand,New Plymouth,APAC,TAG,SLB,G,0,0,WBM,OH,8.5,1900,0,44,0,0,Deviation,PEX-BHC-HRLA,0,Wireline Express,0,NO,NO,0,1,0,0,0,8 Tool Taxis.  Tool drag coefficient 0.22.
1,7,2014,2014-07-01 00:00:00,7,2014,New Zealand,New Plymouth,APAC,TAG,SLB,H,0,0,WBM,OH,8.5,2500,0,52,0,0,Deviation,PEX-BHC-HRLA,0,Wireline Express,0,NO,NO,0,1,0,0,0,1800m tangent section
1,8,2014,2014-08-01 00:00:00,8,2014,USA,Larose,NAM,GOM1,SLB,I,0,0,SOBM,OH,12.25,5000,0,30,0,0,Ledges,PEX-AIT,0,Wireline Express,0,NO,NO,0,1,0,0,0,Bridged out on initial runs (without Petromac)
1,8,2014,2014-08-01 00:00:00,8,2014,New Zealand,New Plymouth,APAC,KEA,SLB,J,0,0,WBM,OH,8.5,2300,0,55,0,0,Deviation,PEX(HRLA),0,Wireline Express,0,NO,NO,0,1,0,0,0,Difficult well.  Numerous pump breakdowns while drilling.
1,8,2014,2014-08-01 00:00:00,8,2014,New Zealand,New Plymouth,APAC,KEA,SLB,J,0,0,WBM,OH,8.5,2300,0,55,0,0,Ledges,DSI-FMI,0,Wireline Express,0,NO,NO,0,1,0,0,0,Carbon fibre custom FMI holefinder
1,8,2014,2014-08-01 00:00:00,8,2014,New Zealand,New Plymouth,APAC,KEA,SLB,J,0,0,WBM,OH,8.5,2300,0,55,0,0,Sensor orientation,MDT pretest,Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,6 Tool taxi. Used Tool Taxi to sample from high side
1,9,2014,2014-09-01 00:00:00,9,2014,USA,Larose,NAM,GOM2,SLB,K,0,0,SOBM,OH,12.25,5500,0,31,0,0,Ledges,XPT-NGIT-PEX(AIT),Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,Bridged out on initial runs (without Petromac)
1,10,2014,2014-10-01 00:00:00,10,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,0,0,SOBM,OH,12.25,4700,0,56,0,0,Deviation,PEX(AIT)-DSI,0,Wireline Express,0,NO,NO,0,1,0,0,0,2100m tangent section.  Log down slow without holdup.
1,10,2014,2014-10-01 00:00:00,10,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,0,0,SOBM,OH,12.25,4700,0,56,0,0,Sensor orientation,CMR-XPT,Probe-DOWN,Wireline Express,0,NO,NO,0,1,0,0,0,"12.25 hole.  Tool Taxi centralised probe.  114 sets, 3 lost seal."
1,10,2014,2014-10-01 00:00:00,10,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,0,0,SOBM,OH,12.25,4700,0,56,0,0,Sensor orientation,MDT sample,Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,"Dual probes. 52m string.  Sample from high side.  12 MPSR samples taken in low perm rock. High side perm 50x higher,"
1,10,2014,2014-10-01 00:00:00,10,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,0,0,SOBM,OH,12.25,4700,0,56,0,0,Sensor orientation,MSCT,Bit-DOWN,Wireline Express,0,NO,NO,0,1,0,0,0,Tool Taxi centralises MSCT.  49/50 successful.
1,10,2014,2014-10-01 00:00:00,10,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,0,0,SOBM,OH,12.25,4680,0,56,0,0,Sensor orientation,MSCT,Bit-DOWN,Wireline Express,0,NO,NO,0,1,0,0,0,misrun - cable problem
1,11,2014,2014-11-01 00:00:00,11,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,M,0,0,SOBM,OH,8.5,5200,0,56,0,0,Deviation,PEX(AIT)-DSI,0,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,11,2014,2014-11-01 00:00:00,11,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,M,0,0,SOBM,OH,8.5,5200,0,56,0,0,Stick-slip,CMR-XPT,Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,11,2014,2014-11-01 00:00:00,11,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,M,0,0,SOBM,OH,8.5,5200,0,56,0,0,Deviation,VSI,0,Wireline Express,0,NO,NO,0,1,0,0,0,Run with tractor
1,11,2014,2014-11-01 00:00:00,11,2014,Australia,Perth,APAC,QGC,SLB,N,0,Land,WBM,OH,8.5,1200,0,43,0,0,Ledges,FMI,0,Wireline Express,NO,NO,NO,0,1,0,0,0,0
1,12,2014,2014-12-01 00:00:00,12,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,0,0,SOBM,OH,8.5,4500,0,15,0,0,Ledges,PEX-AIT,0,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,12,2014,2014-12-01 00:00:00,12,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,0,0,SOBM,OH,8.5,4500,0,15,0,0,Ledges,DSI-NGI,0,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,12,2014,2014-12-01 00:00:00,12,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,0,0,SOBM,OH,8.5,4500,0,15,0,0,Ledges,CMR-XPT,Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,12,2014,2014-12-01 00:00:00,12,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,0,0,SOBM,OH,8.5,4500,0,15,0,0,Sensor orientation,MDT,Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,High side.
1,12,2014,2014-12-01 00:00:00,12,2014,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,0,0,SOBM,OH,8.5,4500,0,15,0,0,Ledges,MSCT,Bit-DOWN,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,12,2014,2014-12-01 00:00:00,12,2014,Australia,Perth,APAC,ORIGIN,SLB,P,0,Land,SOBM,OH,8.5,3420,0,67,0,0,Deviation,CMR-MDT,Probe-UP,Wireline Express,YES,NO,NO,0,1,0,0,0,Tractor on toolstring.  MDT highside successful
1,12,2014,2014-12-01 00:00:00,12,2014,Australia,Perth,APAC,QGC,SLB,Q,0,Land,WBM,OH,8.5,1300,0,58,0,0,Ledges,FMI,0,Wireline Express,NO,NO,NO,0,0,Hung-Up - Washout/Ledge,0,0,Stopped by ledge near TD.
1,1,2015,2015-01-01 00:00:00,1,2015,New Zealand,New Plymouth,APAC,SHELL,SLB,R,0,0,WBM,OH,8.5,4050,0,38,0,0,Ledges,PEX(HRLA)-CMR,0,Wireline Express,0,NO,NO,0,1,0,0,0,Run as holefinder - rugose hole.
1,1,2015,2015-01-01 00:00:00,1,2015,New Zealand,New Plymouth,APAC,SHELL,SLB,R,0,0,WBM,OH,8.5,4050,0,38,0,0,Sensor orientation,MDT pretest,Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,Used Tool Taxi to sample from high side
1,1,2015,2015-01-01 00:00:00,1,2015,New Zealand,New Plymouth,APAC,SHELL,SLB,R,0,0,WBM,OH,8.5,4050,0,38,0,0,Sensor orientation,MDT sampling,Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,Sample from high side - successful in 1mD rock.
1,1,2015,2015-01-01 00:00:00,1,2015,Azerbaijan,Baku,EUR,BP,BHI,SDD03,0,0,SOBM,OH,12.25,7000,0,35,0,0,Ledges,Sonic scanner,0,Wireline Express,0,NO,NO,0,1,0,0,0,Holefinder only - 8 holdups (with Probe flywheels)
1,1,2015,2015-01-01 00:00:00,1,2015,Azerbaijan,Baku,EUR,BP,BHI,SDD03,0,0,SOBM,OH,12.25,7000,0,35,0,0,Ledges,Density Neutron,0,Wireline Express,0,NO,NO,0,1,0,0,0,Holefinder only - no holdups (no Probe flywheels)
1,2,2015,2015-02-01 00:00:00,2,2015,USA,Larose,NAM,FMOG,SLB,S,0,0,SOBM,OH,8.5,9020,0,45,0,0,Stick-slip,CMR-LITH-HNGS,0,Wireline Express,0,NO,NO,0,1,0,0,0,"Tool Taxi wheels only, no data release"
1,2,2015,2015-02-01 00:00:00,2,2015,USA,Larose,NAM,BP,SLB,Hopkins,0,0,SOBM,OH,12.25,6400,0,60,0,0,Deviation,PEX(AIT)-SS,0,Wireline Express,0,NO,NO,0,1,0,0,0,Successfully navigated past rugose section of hole
1,2,2015,2015-02-01 00:00:00,2,2015,USA,Larose,NAM,BP,SLB,Hopkins,0,0,SOBM,OH,12.25,6400,0,60,0,0,Deviation,MDT sampling,Probe-UP,Wireline Express,0,NO,NO,0,1,0,0,0,MDT highside sampling
1,4,2015,2015-04-01 00:00:00,4,2015,USA,Larose,NAM,DGE,SLB,T,0,0,SOBM,OH,13.5,4270,0,55,0,0,Deviation,ZAIT-TLD-HGNS,0,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,4,2015,2015-04-01 00:00:00,4,2015,USA,Larose,NAM,DGE,SLB,T,0,0,SOBM,OH,13.5,4270,0,55,0,0,Deviation,MDT sampling,0,Wireline Express,0,NO,NO,0,1,0,0,0,0
1,4,2015,2015-04-01 00:00:00,4,2015,USA,Larose,NAM,DGE,SLB,T,0,0,SOBM,OH,13.5,4270,0,55,0,0,Tool rotation,DOBMI,0,Wireline Express,0,NO,NO,0,1,0,0,0,tram tracks - no rotation
1,4,2015,2015-04-01 00:00:00,4,2015,USA,Larose,NAM,DGE,SLB,T,0,0,SOBM,OH,13.5,4270,0,55,0,0,Deviation,dual CST,0,Wireline Express,0,NO,NO,0,1,0,0,0,recovered 58/60.  Guide not used.
21,7,2015,2015-07-21 00:00:00,7,2015,Azerbaijan,Baku,EUR,BP,BHI,SDD04Y,0,0,SOBM,OH,8.5,6280,0,40,0,0,Ledges,Sonic scanner,0,Wireline Express,0,NO,NO,0,1,0,0,0,Holefinder only - no holdups (no Probe flywheels)
